Project H:\DLS_polymer_1.05_100nm\Poly_1.05_200_nm.aap,TabPage 60,,,Contin output,,,,
,Average,Deviation,,Gamma (s^-1),D (m^2 s^-1,R (nm),Area,
Angle (deg),60,0,,571.66,2.16272,99.04495,0.93968,
Temperature (K),293.0343,0,,134260,507.93701,0.42172,0.00082,
Viscosity (mPI),1.002,0,,1725400,6527.59217,0.03282,0.00797,
Refractive index,1.33,0,,,,,,
,,,,,,,,
Lower bound,2,,,,,,,
Upper bound,220,,,,,,,
,,,,,,,,
Correlations,,,,,,,,
index,t(s),POLY_176,Average,Fit,,,,
,,checked,,,,,,
214,100.663296,2.10000000000488E-05,2.10000000000488E-05,8.9718784E-21,,,,
215,107.3741824,1.9999999999909E-05,1.9999999999909E-05,4.032064E-22,,,,
216,120.7959552,1.50000000000983E-05,1.50000000000983E-05,9.449476E-24,,,,
217,134.217728,-2.50000000000528E-05,-2.50000000000528E-05,6.97225E-21,,,,
218,147.6395008,-3.20999999999794E-05,-3.20999999999794E-05,6.135529E-22,,,,
219,161.0612736,1.39999999999585E-05,1.39999999999585E-05,1.2321E-20,,,,
220,174.4830464,2.99999999997524E-06,2.99999999997524E-06,5.978025E-24,,,,
221,187.9048192,-2.000000000002E-05,-2.000000000002E-05,,,,,
222,201.326592,-8.00000000023005E-07,-8.00000000023005E-07,,,,,
,,,,,,,,
Count rates (kHz),,,,,,,,
index,t(s),POLY_176,,,,,,
,,checked,,,,,,
0,0.001173094,11.73989,,,,,,
1,0.002346188,10.53965,,,,,,
2,0.003519282,11.21478,,,,,,
3,0.004692376,10.72718,,,,,,
4,0.00586547,10.72718,,,,,,
5,0.007038564,11.32731,,,,,,
6,0.008211658,10.65217,,,,,,
7,0.009384752,11.51484,,,,,,
8,0.010557846,11.62737,,,,,,
9,0.01173094,10.98974,,,,,,
10,0.012904034,11.66488,,,,,,
11,0.014077128,10.98974,,,,,,
12,0.015250222,11.06475,,,,,,
13,0.016423316,10.61466,,,,,,
14,0.01759641,11.10226,,,,,,
15,0.018769504,11.43983,,,,,,
16,0.019942598,10.57715,,,,,,
17,0.021115692,12.15247,,,,,,
18,0.022288786,10.65217,,,,,,
19,0.02346188,11.17728,,,,,,
20,0.024634974,11.21478,,,,,,
21,0.025808068,10.91472,,,,,,
22,0.026981162,10.91472,,,,,,
23,0.028154256,10.53965,,,,,,
24,0.02932735,11.43983,,,,,,
25,0.030500444,10.65217,,,,,,
26,0.031673538,10.35211,,,,,,
27,0.032846632,10.91472,,,,,,
28,0.034019726,11.40232,,,,,,
29,0.03519282,11.88992,,,,,,
30,0.036365914,12.03995,,,,,,
31,0.037539008,11.25229,,,,,,
32,0.038712102,11.58986,,,,,,
33,0.039885196,10.76469,,,,,,
34,0.04105829,10.38962,,,,,,
35,0.042231384,10.08955,,,,,,
36,0.043404478,10.42712,,,,,,
37,0.044577572,12.15247,,,,,,
38,0.045750666,11.81491,,,,,,
39,0.04692376,11.06475,,,,,,
40,0.048096854,10.05205,,,,,,
41,0.049269948,10.65217,,,,,,
42,0.050443042,10.98974,,,,,,
43,0.051616136,10.27709,,,,,,
44,0.05278923,10.91472,,,,,,
45,0.053962324,11.92743,,,,,,
46,0.055135418,10.27709,,,,,,
47,0.056308512,11.06475,,,,,,
48,0.057481606,10.87722,,,,,,
49,0.0586547,11.2898,,,,,,
50,0.059827794,10.57715,,,,,,
51,0.061000888,11.02725,,,,,,
52,0.062173982,11.40232,,,,,,
53,0.063347076,11.36481,,,,,,
54,0.06452017,10.87722,,,,,,
55,0.065693264,11.06475,,,,,,
56,0.066866358,10.38962,,,,,,
57,0.068039452,11.40232,,,,,,
58,0.069212546,10.50214,,,,,,
59,0.07038564,11.70238,,,,,,
60,0.071558734,11.73989,,,,,,
61,0.072731828,10.83971,,,,,,
62,0.073904922,11.25229,,,,,,
63,0.075078016,11.58986,,,,,,
64,0.07625111,10.27709,,,,,,
65,0.077424204,10.50214,,,,,,
66,0.078597298,11.21478,,,,,,
67,0.079770392,11.10226,,,,,,
68,0.080943486,11.06475,,,,,,
